profile,t,sigma,epsilon,pld_delta_upper,pld_delta_lower,chua_lower_delta,chua_threshold,chua_grid_delta,stable_monte_carlo,order_statistics,log10_pld_chua_gap,mc_remove_mean,mc_add_mean,mc_mean,mc_remove_standard_error,mc_add_standard_error,mc_simultaneous_upper,mc_point_error_probability,log10_pld_mc_gap
"Criteo pCTR, batch 1024",35938,0.3,0.1,0.11408000551319496,0.09931858475504807,0.09918284630139182,1.3189483909801116,0.09914263489912073,True,739,0.06077296618904349,0.1069732646374205,0.08195980393705493,0.1069732646374205,0.00030912350772318767,0.00013870538594269334,0.10890669703836646,6.25e-05,0.027934283579754804
"Criteo pCTR, batch 1024",35938,0.3,0.5157894736842106,0.055236719787868094,0.05132893570034695,0.05135435254682107,1.4189189118558077,0.05134714656636108,True,739,0.03165062206010627,0.05336919083577545,0.00032954278514195915,0.05336919083577545,0.0002486424053735607,6.530340311242357e-06,0.05477938662151666,6.25e-05,0.014937262016678554
"Criteo pCTR, batch 1024",35938,0.3,0.9315789473684211,0.03315531379145082,0.031736700099847054,0.03189398443125142,1.4858637947985913,0.03189269997281713,True,739,0.016844364660701716,0.03242482939498713,0.0,0.03242482939498713,0.00020333380043330372,0.0,0.03353911192337191,6.25e-05,0.009675442857728589
"Criteo pCTR, batch 1024",35938,0.3,1.3473684210526318,0.021717038270777846,0.021088720640999495,0.02122085347674784,1.5393672199272865,0.02122012711946716,True,739,0.010037749973811128,0.02137591157732772,0.0,0.02137591157732772,0.0001686373585295736,0.0,0.022288306751955977,6.25e-05,0.006875952367401794
"Criteo pCTR, batch 1024",35938,0.3,1.7631578947368423,0.014753894135840743,0.014440521676079704,0.014532509820268751,1.5862822915164114,0.014512170252133765,True,739,0.006566037823584114,0.014598248875300254,0.0,0.014598248875300254,0.00014056317142214895,0.0,0.015357156672312435,6.25e-05,0.0046058995649544965
"Criteo pCTR, batch 1024",35938,0.3,2.1789473684210527,0.010170038037077124,0.010000671998633706,0.010061616918188325,1.6295625577189243,0.01004646598441027,True,739,0.004654799078321004,0.0100768282171693,0.0,0.0100768282171693,0.00011712258677973933,0.0,0.010711028478547241,6.25e-05,0.003998722164541002
"Criteo pCTR, batch 1024",35938,0.3,2.5947368421052635,0.007034254623839509,0.0069370061706137374,0.006976804135907169,1.6706941474361428,0.006974263802906377,True,739,0.0035615537914077677,0.006954291272638104,0.0,0.006954291272638104,9.734012120522214e-05,0.0,0.007484205454344872,6.25e-05,0.004965208064666715
"Criteo pCTR, batch 1024",35938,0.3,3.0105263157894737,0.004851236089064359,0.004792669975014337,0.004818639123017196,1.7105018381709773,0.004817648541938438,True,739,0.0029280080237157335,0.004791631213607995,0.0,0.004791631213607995,8.055231383422854e-05,0.0,0.005234212934038747,6.25e-05,0.005369025079960732
"Criteo pCTR, batch 1024",35938,0.3,3.4263157894736844,0.0033230672397962634,0.0032865122993394336,0.003303602256781516,1.7494727286658107,0.0033009672662300963,True,739,0.0025513748741845532,0.0032702506123194696,0.0,0.0032702506123194696,6.616888236424723e-05,0.0,0.0036384505697648084,6.25e-05,0.0069580933435662295
"Criteo pCTR, batch 1024",35938,0.3,3.842105263157895,0.002255370952977222,0.0022319796916946983,0.0022432703622152525,1.7879062163988473,0.0022422613351205456,True,739,0.002336364293896942,0.002189141539272862,0.0,0.002189141539272862,5.383711540348134e-05,0.0,0.0024929567952288387,6.25e-05,0.012944140985295505
"Criteo pCTR, batch 1024",35938,0.3,4.257894736842105,0.0015142015550063178,0.001499006877619836,0.0015064670686600605,1.8259911381805911,0.0015061704918249437,True,739,0.0022240454018565003,0.001439591999474911,0.0,0.001439591999474911,4.354229861773739e-05,0.0,0.0016885607684808093,6.25e-05,0.02194426344807887
"Criteo pCTR, batch 1024",35938,0.3,4.673684210526315,0.0010044561770079304,0.000994496930193379,0.000999492923620904,1.8638484884567392,0.0009975596650845407,True,739,0.002151270174556519,0.0009371097402510735,0.0,0.0009371097402510735,3.5165267681137326e-05,0.0,0.0011406028218627214,6.25e-05,0.03014054191992388
"Criteo pCTR, batch 1024",35938,0.3,5.089473684210526,0.000658046231105978,0.0006515019550289772,0.0006546881906413788,1.9015567002702445,0.0006545897801297504,True,739,0.0022218989624414043,0.0006124247806540479,0.0,0.0006124247806540479,2.8385960560294527e-05,0.0,0.000779521559969987,6.25e-05,0.03120365077201548
"Criteo pCTR, batch 1024",35938,0.3,5.505263157894737,0.0004251157526242433,0.00042078659972969785,0.0004231625744490888,1.9391669377279974,0.0004229739922296315,False,739,0.0019999473654128685,0.00039952706669115737,0.0,0.00039952706669115737,2.2820418767852882e-05,0.0,0.0005370978836839389,6.25e-05,nan
"Criteo pCTR, batch 1024",35938,0.3,5.921052631578947,0.000271006169546901,0.00026825626482488893,0.0002698006169271111,1.9767126896398548,0.00026924832547160614,False,739,0.0019362394509543357,0.0002602544488766602,0.0,0.0002602544488766602,1.813795971785478e-05,0.0,0.0003739207247037513,6.25e-05,nan
"Criteo pCTR, batch 1024",35938,0.3,6.336842105263158,0.00017048809548965782,0.00016872377960003973,0.00016964028266439117,2.014215961545921,0.0001696102471509667,False,739,0.002165071884133507,0.00016270415497701942,0.0,0.00016270415497701942,1.4061972787926724e-05,0.0,0.0002554645105931059,6.25e-05,nan
"Criteo pCTR, batch 1024",35938,0.3,6.752631578947368,0.00010574982117824391,0.00010462716153532189,0.00010516765510608288,2.0516912539734,0.00010512144305631626,False,739,0.002397450976678428,9.440289899891853e-05,0.0,9.440289899891853e-05,1.0755521858953211e-05,0.0,0.00016839646106607705,6.25e-05,nan
"Criteo pCTR, batch 1024",35938,0.3,7.168421052631579,6.465903162015351e-05,6.395399318598222e-05,6.427466264392237e-05,2.0891480792189947,6.410541482899739e-05,False,739,0.0025893901645730466,5.5895357142132924e-05,0.0,5.5895357142132924e-05,8.254049472873471e-06,0.0,0.0001161233168020963,6.25e-05,nan
"Criteo pCTR, batch 1024",35938,0.3,7.58421052631579,3.8967931555021044e-05,3.853141397542946e-05,3.872161305979796e-05,2.1265927335930623,3.870914985767292e-05,False,739,0.002753912955699711,3.34530721229697e-05,0.0,3.34530721229697e-05,6.304170168320807e-06,0.0,8.335332633629758e-05,6.25e-05,nan
"Criteo pCTR, batch 1024",35938,0.3,8.0,2.3145905277169972e-05,2.2879578512858057e-05,2.299242837902971e-05,2.1640293583094716,2.2984922127009285e-05,False,739,0.0028893291339544547,1.8835867965050377e-05,0.0,1.8835867965050377e-05,4.736370211917398e-06,0.0,6.002710576155452e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,0.1,0.06209418860192967,0.04608957205413095,0.04479555594640969,1.5725634380742723,0.044769746576985125,True,589,0.1418160255570422,0.0545283823159865,0.0391922898870966,0.0545283823159865,0.00018397998383209036,8.94560847798955e-05,0.055952789784657696,6.25e-05,0.056428342697978806
"Criteo pCTR, batch 8192",4492,0.4,0.5157894736842106,0.014216354231994766,0.012262581506214832,0.01223601242944378,1.7884332786412394,0.012235927125971761,True,589,0.06514832686943084,0.013391091246136296,4.593664568428218e-06,0.013391091246136296,0.00011238079577753251,6.441676594569005e-07,0.014118947134874625,6.25e-05,0.025972267032659202
"Criteo pCTR, batch 8192",4492,0.4,0.9315789473684211,0.005591540748389026,0.005147977274096253,0.005216333805143433,1.9157051187014869,0.005212239186933946,True,589,0.030166119058478102,0.005528292748086204,0.0,0.005528292748086204,7.682777474396954e-05,0.0,0.006002528739980419,6.25e-05,0.004940461339152158
"Criteo pCTR, batch 8192",4492,0.4,1.3473684210526318,0.0026651240258629546,0.00252310944550079,0.0025619416023263753,2.01335671325629,0.0025582002350302835,True,589,0.01714819834856751,0.002707834824320837,0.0,0.002707834824320837,5.4813384119114214e-05,0.0,0.003044162641188945,6.25e-05,0.006904744787776362
"Criteo pCTR, batch 8192",4492,0.4,1.7631578947368423,0.001363801646938439,0.0013100754918583223,0.001329041226336248,2.0977189128655636,0.001328825459181949,True,589,0.011212757770893589,0.0013970696348168342,0.0,0.0013970696348168342,3.967021838162165e-05,0.0,0.0016425365103279034,6.25e-05,0.010466842836743595
"Criteo pCTR, batch 8192",4492,0.4,2.1789473684210527,0.0007163941035507373,0.0006939913441792165,0.0007030913512730914,2.1750637845662975,0.0007029112955796849,True,589,0.008140246917704097,0.000735690975048527,0.0,0.000735690975048527,2.88774601951929e-05,0.0,0.0009175347715697914,6.25e-05,0.011543425819454445
"Criteo pCTR, batch 8192",4492,0.4,2.5947368421052635,0.00037828525237444937,0.00036832722397759634,0.0003726948535737654,2.2483649293510464,0.0003726316718914162,False,589,0.0064660146924171436,0.00039576765860589665,0.0,0.00039576765860589665,2.0944474166297295e-05,0.0,0.0005327538230435218,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,3.0105263157894737,0.00019847624363751126,0.00019385109757371485,0.00019599206436335279,2.319215310369894,0.00019584857162062013,False,589,0.005470044571482813,0.0002021185116450465,0.0,0.0002021185116450465,1.4798330416318446e-05,0.0,0.0003039207096364146,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,3.4263157894736844,0.00010278136466296477,0.00010057381244115993,0.00010163011834645814,2.388534189071615,0.00010148503851909005,False,589,0.004891948355112419,0.00010058063642945799,0.0,0.00010058063642945799,1.04235338663845e-05,0.0,0.00017650251332637366,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,3.842105263157895,5.231101709008223e-05,5.124159210307659e-05,5.176149207801314e-05,2.4568775475117066,5.174332497957783e-05,False,589,0.0045863773308179034,4.9313441635421654e-05,0.0,4.9313441635421654e-05,7.230596243313532e-06,0.0,0.0001067628290773263,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,4.257894736842105,2.6092923864386838e-05,2.5571796078251794e-05,2.582645302271221e-05,2.5245918472661373,2.582609056319092e-05,False,589,0.004457982326493415,2.308970160850164e-05,0.0,2.308970160850164e-05,5.078469506087942e-06,0.0,6.707172163521733e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,4.673684210526315,1.2729516372618207e-05,1.2479127047484636e-05,1.2601778170695115e-05,2.5918973168654778,1.2600858268710657e-05,False,589,0.004380073538377438,1.1887166149251275e-05,0.0,1.1887166149251275e-05,3.65979313113481e-06,0.0,4.778534435449211e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,5.089473684210526,6.066544008363262e-06,5.943192558575102e-06,6.00593320791946e-06,2.6589357111493936,6.003745829612771e-06,False,589,0.004360854342523979,6.531346404105553e-06,0.0,6.531346404105553e-06,2.607207403111683e-06,0.0,3.726562978187941e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,5.505263157894737,2.8189356363784136e-06,2.762504452507912e-06,2.79345562394757e-06,2.72579900899843,2.791181435362538e-06,False,589,0.003943383243216303,3.215730499517076e-06,0.0,3.215730499517076e-06,1.6450966825197417e-06,0.0,2.972795921997286e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,5.921052631578947,1.2808700951851037e-06,1.2547870452502933e-06,1.2672263737696181e-06,2.792547289972902,1.265458942593424e-06,False,589,0.0046508832176170856,9.232991779648813e-07,0.0,9.232991779648813e-07,6.443104767563804e-07,0.0,2.326291228303383e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,6.336842105263158,5.673578237922641e-07,5.554929349535426e-07,5.604411413239692e-07,2.8592198982970354,5.592634492602987e-07,False,589,0.005327039275504042,0.0,0.0,0.0,0.0,0.0,1.9360500585485774e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,6.752631578947368,2.448503927570287e-07,2.3958528090492047e-07,2.415640587650514e-07,2.92584266935154,2.4085347320541077e-07,False,589,0.005868486969515807,0.0,0.0,0.0,0.0,0.0,1.9360500585485774e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,7.168421052631579,1.0293593437772554e-07,1.0065929690767704e-07,1.0145176853937918e-07,2.9924325960291434,1.0107826103423852e-07,False,589,0.006307388891046095,0.0,0.0,0.0,0.0,0.0,1.9360500585485774e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,7.58421052631579,4.215121272096865e-08,4.119237378998036e-08,4.150831869952645e-08,3.0590008688410686,4.13780897925744e-08,False,589,0.006674931534061734,0.0,0.0,0.0,0.0,0.0,1.9360500585485774e-05,6.25e-05,nan
"Criteo pCTR, batch 8192",4492,0.4,8.0,1.681105742258474e-08,1.6417755934631768e-08,1.6542437677451406e-08,3.1255548598100455,1.6499112829813307e-08,False,589,0.006995524461524738,0.0,0.0,0.0,0.0,0.0,1.9360500585485774e-05,6.25e-05,nan
"Criteo Search, batch 1024",12500,0.3,0.1,0.1636725693188621,0.1502752513243998,0.1484669377983969,1.244424691816029,0.14846594772256186,True,609,0.0423461488963609,0.15761894301849005,0.1316039525689982,0.15761894301849005,0.0003837713308177693,0.00019478653499001072,0.1598951978974409,6.25e-05,0.01636748915681685
"Criteo Search, batch 1024",12500,0.3,0.5157894736842106,0.09562140435940832,0.09070083614986844,0.08998949064558219,1.33011610458258,0.089988248144409,True,609,0.0263633240946457,0.093646491430878,0.007769973602980316,0.093646491430878,0.00032962040113805455,4.3508147589454314e-05,0.09546986236090253,6.25e-05,0.009063607049474731
"Criteo Search, batch 1024",12500,0.3,0.9315789473684211,0.06267169945083587,0.060562602794528866,0.06046535797941846,1.393183191259665,0.060454417096126825,True,609,0.015564843085241975,0.061879145878059774,1.4214125973546867e-06,0.061879145878059774,0.0002808427585016189,4.29029250507872e-07,0.06338972221522779,6.25e-05,0.005527161027620409
"Criteo Search, batch 1024",12500,0.3,1.3473684210526318,0.0434669914984946,0.04243354878088601,0.04250681047668319,1.4453390155972956,0.042496751572029916,True,609,0.009701063551091682,0.04301212709398665,0.0,0.04301212709398665,0.0002397959199313997,0.0,0.04428641771563911,6.25e-05,0.0045686617966864684
"Criteo Search, batch 1024",12500,0.3,1.7631578947368423,0.030922152295821608,0.03036582248962815,0.03046576369299153,1.4917043161080883,0.030440978717453392,True,609,0.00645764562931217,0.03063804169546385,0.0,0.03063804169546385,0.00020500171747143842,0.0,0.03172256189727569,6.25e-05,0.004008711930219899
"Criteo Search, batch 1024",12500,0.3,2.1789473684210527,0.02221010310875324,0.02188882146136431,0.021976103192313964,1.5347392303039775,0.02195349450264537,True,609,0.0045998890163894135,0.02207489536274874,0.0,0.02207489536274874,0.00017499374078742256,0.0,0.023001541455386066,6.25e-05,0.0026519210785840297
"Criteo Search, batch 1024",12500,0.3,2.5947368421052635,0.015967262333106462,0.01577126975516345,0.015838986823821205,1.5757557761163932,0.015831974586449617,True,609,0.0035030630375449956,0.015911102382981504,0.0,0.015911102382981504,0.00014871510807518953,0.0,0.016702291634100815,6.25e-05,0.001530190264931619
"Criteo Search, batch 1024",12500,0.3,3.0105263157894737,0.01143097931154706,0.011306204916043713,0.011356110652712486,1.6155081121057682,0.011354913210987323,True,609,0.0028538231473178577,0.011388470096589151,0.0,0.011388470096589151,0.00012561547627871838,0.0,0.012061405495794373,6.25e-05,0.0016180529609832739
"Criteo Search, batch 1024",12500,0.3,3.4263157894736844,0.008122768048381161,0.008040729678586916,0.008076605587033128,1.6544520782863559,0.008069770476430017,True,609,0.0024751767509907374,0.008075314230863656,0.0,0.008075314230863656,0.00010536120261762095,0.0,0.00864500119345517,6.25e-05,0.0025446209862383107
"Criteo Search, batch 1024",12500,0.3,3.842105263157895,0.00571695394904516,0.005661816934728502,0.005687297950558249,1.6928724486392381,0.00568567191793237,True,609,0.002258712915680583,0.005627767077748679,0.0,0.005627767077748679,8.772025299030598e-05,0.0,0.006106108917860263,6.25e-05,0.006828579381550348
"Criteo Search, batch 1024",12500,0.3,4.257894736842105,0.0039796302281701985,0.003942089792969851,0.003960046400660108,1.7309509785866866,0.003959038064799066,True,609,0.0021424463157129203,0.0038959313769997444,0.0,0.0038959313769997444,7.251684242830863e-05,0.0,0.004296482708620339,6.25e-05,0.009231422383126464
