t,sigma,delta,pld_epsilon_upper,pld_epsilon_lower,pld_interval_width,chua_lower_epsilon,pld_upper_minus_chua_lower,chua_optimal_threshold,chua_delta_at_epsilon,chua_grid_delta,rdp_epsilon,rdp_optimal_order,rdp_relative_improvement,rdp_remove_alpha2,rdp_alpha2_closed_form,rdp_alpha2_abs_error
1000,1.0,1e-06,0.17493247727014632,0.1684684348307052,0.0064640424394411256,0.12353787809843197,0.05139459917171435,5.386571919036334,1.0000000001567932e-06,9.981600366675114e-07,0.8693860468916459,13,0.7987861918240002,0.001716807271133547,0.0017168072711330983,4.486428589745017e-16
1000,1.3333333333333333,1e-06,0.10453499586036828,0.09808950672342888,0.006445489136939403,0.032665291473676916,0.07186970438669137,6.780123099211465,1.000000000699687e-06,9.9861322494491e-07,0.43001717617845325,24,0.7569050687943051,0.0007547697465994929,0.000754769746599043,4.499439015814843e-16
1000,1.6666666666666665,1e-06,0.0777408753989449,0.07131112110905856,0.006429754289886347,0.014623918705183314,0.06311695669376159,8.15606506120231,1.0000000006606287e-06,9.982461290442219e-07,0.25833743999638814,38,0.6990723628753469,0.00043323555448360196,0.000433235554483488,1.1394964832822652e-16
1000,2.0,1e-06,0.06247260849643183,0.05603901035224345,0.006433598144188382,0.008485317302984186,0.05398729119344765,9.518074033944636,1.0000000034520156e-06,9.986312097900497e-07,0.17321376623682722,55,0.6393323125887356,0.00028398508910498776,0.0002839850891049375,5.025277069470313e-17
1000,2.333333333333333,1e-06,0.052537726985021946,0.046039232665161134,0.006498494319860812,0.005689419067493873,0.04684830791752807,10.868695318669399,1.0000000184226792e-06,9.999914451991679e-07,0.15401130425154091,60,0.658870968982809,0.0002016030689429016,0.00020160306894306901,1.6742792048607402e-16
1000,2.6666666666666665,1e-06,0.04547400592507685,0.038943967601011244,0.00653003832406561,0.004170274769421667,0.041303731155655186,12.20978140107217,1.0000000401312256e-06,9.999719825892588e-07,0.1524898641842456,60,0.7017899768726072,0.00015098154640469374,0.00015098154640386273,8.31013860155827e-16
1000,3.0,1e-06,0.04016066839001548,0.03364531694450939,0.006515351445506093,0.0032430762985313777,0.036917592091484104,13.542724591220537,1.0000000518714004e-06,9.98916055419772e-07,0.15148471793068177,60,0.7348863374562133,0.00011751216391786556,0.00011751216391706508,8.00480016473204e-16
1000,3.333333333333333,1e-06,0.03600112608485227,0.029513485922433504,0.006487640162418769,0.0026291009271517396,0.03337202515770053,14.868595419011788,1.0000000463701586e-06,9.99999340572759e-07,0.15078398865764292,60,0.7612403916002427,9.41698495857679e-05,9.416984958573919e-05,2.87178050437098e-17
1000,3.6666666666666665,1e-06,0.03267269815008513,0.02621742029381745,0.006455277856267681,0.0021974494302412495,0.030475248719843882,16.188232026524954,1.000000036465755e-06,9.99626803762331e-07,0.1502750727610467,60,0.7825807198108086,7.721326687004648e-05,7.72132668688516e-05,1.1948856617691184e-15
1000,4.0,1e-06,0.02994430499266365,0.023523839639771272,0.006420465352892379,0.0018798235032591037,0.028064481489404547,17.502310733512395,1.0000000242151377e-06,9.993016653322626e-07,0.14989333430750096,60,0.8002292421407216,6.449237923966677e-05,6.449237923966187e-05,4.9060148304969076e-18
10000,1.0,1e-06,0.04933344340513134,0.04242806807089031,0.006905375334241036,0.013060600413155043,0.0362728429919763,5.386732029535651,1.0000000056822195e-06,9.98106308320863e-07,0.5886397406115398,18,0.9161907700049632,0.0001718134220709544,0.00017181342207454794,3.59353389059458e-15
10000,1.3333333333333333,1e-06,0.032639519205813,0.025755921812821242,0.0068835973929917554,0.0033113403878815006,0.029328178817931497,6.781536034659075,1.0000000103885243e-06,9.988642262869895e-07,0.3033698591044549,32,0.8924101448239962,7.550261529587488e-05,7.55026153018342e-05,5.959330793593731e-15
10000,1.6666666666666665,1e-06,0.025124076334917922,0.018241128588043692,0.0068829477468742295,0.0014679083324153908,0.02365616800250253,8.16168755240809,1.0000000346087334e-06,9.990492842752371e-07,0.18277541643096784,51,0.8625412715478233,4.333200260475678e-05,4.3332002611248265e-05,6.491484324903929e-15
10000,2.0,1e-06,0.02077216450464071,0.013905750745738098,0.006866413758902613,0.0008472260014968924,0.019924938503143818,9.532774839634293,1.0000000894815064e-06,9.995623388939917e-07,0.14881060431051402,60,0.8604120680721336,2.8402138319449932e-05,2.840213832422485e-05,4.774917847184465e-15
10000,2.333333333333333,1e-06,0.01792084158297332,0.01105404555634526,0.006866796026628059,0.0005655408858729061,0.017355300697100413,10.898536797976426,1.000000126271522e-06,9.987542841979197e-07,0.1485633187036668,60,0.8793723663462358,2.016213596078842e-05,2.0162135963520053e-05,2.7316338210500724e-15
10000,2.6666666666666665,1e-06,0.01588019105928418,0.0090288900333725,0.00685130102591168,0.00041273018723586574,0.015467460872048314,12.261141182568299,1.0000000371136741e-06,9.998849515475972e-07,0.14841140242976655,60,0.8929988478021476,1.5099180473043816e-05,1.5099180475918388e-05,2.87457232496513e-15
10000,3.0,1e-06,0.014386865786070874,0.007534941851264194,0.006851923934806679,0.0003195484896423295,0.014067317296428544,13.62166658696773,1.0000001110233026e-06,9.98412332978843e-07,0.14831097158794634,60,0.9029952697900057,1.1751837817541855e-05,1.1751837821069777e-05,3.527922718500262e-15
10000,3.333333333333333,1e-06,0.013191191311103825,0.006346930259894765,0.0068442610512090595,0.00025788975108298473,0.01293330156002084,14.98054827589982,1.0000001005872061e-06,9.988623725434853e-07,0.14824093340192054,60,0.9110151898778254,9.41738402460146e-06,9.417384026820883e-06,2.21942283345003e-15
