t,sigma,delta,alpha,beta,epsilon_upper,epsilon_lower,epsilon_gap,gap_bound_2alpha,ordered,gap_within_2alpha,runtime_seconds
16,2.0,1e-05,0.2,1e-08,0.54803125390615,0.4154570478345531,0.13257420607159692,0.4,True,True,0.2970213750086259
16,2.0,1e-05,0.1,1e-08,0.5109408981652809,0.4448811288514752,0.0660597693138057,0.2,True,True,0.03145679099543486
64,2.0,1e-05,0.2,1e-08,0.30226005805384054,0.16294423444104103,0.1393158236127995,0.4,True,True,0.03676733298925683
64,2.0,1e-05,0.1,1e-08,0.25871105749440304,0.19060446944721768,0.06810658804718536,0.2,True,True,0.04021925000415649
256,2.0,1e-05,0.2,1e-08,0.18413297180179056,0.05097895390374967,0.13315401789804088,0.4,True,True,0.044247124998946674
256,2.0,1e-05,0.1,1e-08,0.14335218712106698,0.07487939621968248,0.0684727909013845,0.2,True,True,0.07194916698790621
