panel,epsilon,dimension,t,delta,allocation_sigma_upper,poisson_sigma_upper,allocation_to_poisson_ratio,allocation_roots_by_resolution,poisson_roots_by_resolution,fine_root_separation,convergence_and_bracket_envelope,ordering_at_both_resolutions,robust_lower_noise,negative_control_rejected
0,1.0,1,1000,1e-10,0.8899410247802735,0.891829299926758,0.9978826944274655,"{0.002: {'sigma_lower_bracket': 0.8899032592773438, 'sigma_upper_bracket': 0.8899410247802735, 'epsilon_at_lower': 1.0001098977945109, 'epsilon_at_upper': 0.9998958003146937, 'bracket_width': 3.7765502929665296e-05}, 0.001: {'sigma_lower_bracket': 0.8899032592773438, 'sigma_upper_bracket': 0.8899410247802735, 'epsilon_at_lower': 1.0001098977945109, 'epsilon_at_upper': 0.9998958003146937, 'bracket_width': 3.7765502929665296e-05}}","{0.0002: {'sigma_lower_bracket': 0.8917537689208985, 'sigma_upper_bracket': 0.8917915344238283, 'epsilon_at_lower': 1.0002146019004683, 'epsilon_at_upper': 0.9999723633154498, 'bracket_width': 3.776550292977632e-05}, 0.0001: {'sigma_lower_bracket': 0.8917915344238283, 'sigma_upper_bracket': 0.891829299926758, 'epsilon_at_lower': 1.0000192120401754, 'epsilon_at_upper': 0.9999007994367762, 'bracket_width': 3.7765502929665296e-05}}",0.0018505096435548207,0.00011329650878899589,True,True,True
1,0.1,1,1000,1e-10,1.8657260894775387,1.9387645721435547,0.9623273069275954,"{0.002: {'sigma_lower_bracket': 1.867652130126953, 'sigma_upper_bracket': 1.8676898956298826, 'epsilon_at_lower': 0.10000232513877425, 'epsilon_at_upper': 0.09999837085371749, 'bracket_width': 3.776550292955427e-05}, 0.001: {'sigma_lower_bracket': 1.8656883239746092, 'sigma_upper_bracket': 1.8657260894775387, 'epsilon_at_lower': 0.10000123670200778, 'epsilon_at_upper': 0.09999901667724032, 'bracket_width': 3.776550292955427e-05}}","{0.0002: {'sigma_lower_bracket': 1.9500564575195312, 'sigma_upper_bracket': 1.950094223022461, 'epsilon_at_lower': 0.10000055929258597, 'epsilon_at_upper': 0.09999811658165693, 'bracket_width': 3.776550292977632e-05}, 0.0001: {'sigma_lower_bracket': 1.938726806640625, 'sigma_upper_bracket': 1.9387645721435547, 'epsilon_at_lower': 0.10000127863849043, 'epsilon_at_upper': 0.09999881931816897, 'bracket_width': 3.776550292977632e-05}}",0.0730007171630862,0.013368988037109508,True,True,True
2,0.1,1000,1000,1e-10,1.8657260894775387,1.9387645721435547,0.9623273069275954,"{0.002: {'sigma_lower_bracket': 1.867652130126953, 'sigma_upper_bracket': 1.8676898956298826, 'epsilon_at_lower': 0.10000232513877425, 'epsilon_at_upper': 0.09999837085371749, 'bracket_width': 3.776550292955427e-05}, 0.001: {'sigma_lower_bracket': 1.8656883239746092, 'sigma_upper_bracket': 1.8657260894775387, 'epsilon_at_lower': 0.10000123670200778, 'epsilon_at_upper': 0.09999901667724032, 'bracket_width': 3.776550292955427e-05}}","{0.0002: {'sigma_lower_bracket': 1.9500564575195312, 'sigma_upper_bracket': 1.950094223022461, 'epsilon_at_lower': 0.10000055929258597, 'epsilon_at_upper': 0.09999811658165693, 'bracket_width': 3.776550292977632e-05}, 0.0001: {'sigma_lower_bracket': 1.938726806640625, 'sigma_upper_bracket': 1.9387645721435547, 'epsilon_at_lower': 0.10000127863849043, 'epsilon_at_upper': 0.09999881931816897, 'bracket_width': 3.776550292977632e-05}}",0.0730007171630862,0.013368988037109508,True,True,True
