batch_size,B,pld_epsilon,rdp_epsilon,source_run_id,source_commit_sha,source_line,n,d,communication_C,epochs,delta,global_sigma,q,rounds,t,k,reference_rdp_epsilon,reference_rdp_abs_error,rdp_optimal_order,rdp_remove_alpha2,rdp_alpha2_closed_form,rdp_alpha2_abs_error,relative_improvement,max_grid_mult,reference_rdp_matches_rounded_log
1028,16,0.807649,1.26373,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=16: PLD eps=0.807649, RDP eps=1.26373",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,65536,2048,1.2637325039557776,2.5039557776107557e-06,11,1.0486340007737454,1.0486340007738462,1.0080825063596421e-13,0.3609006670728716,1000000,True
1028,32,0.80209,1.27203,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=32: PLD eps=0.80209, RDP eps=1.27203",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,32768,1024,1.2720285181945823,1.4818054177023754e-06,11,1.0569521266961601,1.0569521266966189,4.587441537751147e-13,0.3694409723041123,1000000,True
1028,64,0.813558,1.29984,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=64: PLD eps=0.813558, RDP eps=1.29984",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,16384,512,1.299842748975482,2.7489754819143286e-06,11,1.0738443564500812,1.073844356449883,1.9828583219805296e-13,0.37410912112259975,1000000,True
1028,128,0.840143,1.38381,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=128: PLD eps=0.840143, RDP eps=1.38381",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,8192,256,1.38380820647284,1.793527159899e-06,10,1.1086784214842282,1.1086784214841539,7.438494264988549e-14,0.3928769122928726,1000000,True
1028,256,0.902001,1.50635,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=256: PLD eps=0.902001, RDP eps=1.50635",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,4096,128,1.5063543508642065,4.350864206470462e-06,10,1.1827577591393492,1.182757759139365,1.5765166949677223e-14,0.40120091612175124,1000000,True
1028,512,1.0716,1.80758,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=512: PLD eps=1.0716, RDP eps=1.80758",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,2048,64,1.8075774939779787,2.506022021231402e-06,8,1.350381127447804,1.3503811274478188,1.4876988529977098e-14,0.4071631684351453,1000000,True
1028,1024,1.90205,3.14915,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=1024: PLD eps=1.90205, RDP eps=3.14915",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,1024,32,3.1491487085673575,1.2914326426027856e-06,5,1.7799166107099325,1.7799166107099242,8.215650382226158e-15,0.3960116221837639,1000000,True
1028,2048,6.46249,12.8201,e2017506-0da3-46d6-b09a-bc024e8b4e3d,955357b7683ad0dbc0b118c28a2896f8ea585e1a,"PREAMBLE batch=1028 B=2048: PLD eps=6.46249, RDP eps=12.8201",600000,1048576,32768,10,1e-06,1.0,0.0017133333333333334,5840,512,16,12.820067090858647,3.290914135334333e-05,2,3.169672830953587,3.1696728309535933,6.217248937900877e-15,0.49590954828745487,1000000,True
4096,4,1.82399,2.36999,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=4: PLD eps=1.82399, RDP eps=2.36999",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,262144,8192,2.36998630761214,3.69238785991044e-06,8,1.0424506622803165,1.0424506622795375,7.789324740770098e-13,0.23038071890598696,1000000,True
4096,8,1.81617,2.37566,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=8: PLD eps=1.81617, RDP eps=2.37566",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,131072,4096,2.3756610788970187,1.0788970188357894e-06,8,1.044506540569273,1.0445065405691443,1.2878587085651816e-13,0.2355092900499229,1000000,True
